158,158,158,166,158,157,157,157,157,157,158,166,166,174,174,174,182,174,174,174,174,174
166,166,166,166,166,158,158,158,158,166,166,166,166,174,182,182,182,182,174,182,174,182
174,174,174,174,166,166,166,166,166,166,166,166,174,174,182,182,182,182,174,182,174,182
174,174,174,174,174,166,166,166,166,166,166,166,174,182,182,190,182,182,174,182,174,182
174,174,174,174,174,174,174,174,174,166,166,174,174,174,182,182,190,182,182,182,182,174
182,174,182,174,174,174,174,166,174,174,174,182,182,182,190,190,190,182,190,182,174,174
182,182,183,175,174,174,174,166,174,174,182,182,182,182,190,190,190,190,182,182,174,174
190,190,199,191,174,174,174,174,174,174,191,182,182,182,190,182,190,190,182,182,182,174
199,191,199,191,182,174,182,174,174,182,191,182,182,182,182,182,190,182,182,182,182,174
207,199,199,191,182,182,182,174,174,191,191,183,182,190,182,182,182,190,182,182,182,182
215,199,199,199,191,182,174,174,182,199,191,183,191,190,182,182,182,182,182,182,182,174
215,199,199,199,191,182,182,182,183,191,199,191,191,190,182,182,182,182,182,182,182,174
231,191,183,191,191,191,199,215,199,207,191,199,191,190,190,190,190,182,182,182,182,182
231,207,191,199,191,191,223,247,231,215,207,207,207,199,190,190,191,182,190,182,182,182
223,207,199,191,199,207,247,247,247,215,215,231,215,199,190,199,191,190,182,182,182,182
207,199,199,191,207,239,247,247,247,231,247,239,223,191,199,199,190,190,190,182,182,182
215,199,191,199,207,247,247,247,247,247,247,247,223,199,207,191,190,190,182,182,182,182
215,199,183,207,215,247,247,247,247,247,247,247,223,223,199,190,191,182,182,182,182,174
